,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,LOCATION,LAT,LON
1507,200812427,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,820,8,West LA,824,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 0416,33,M,H,101,STREET,,,IC,Invest Cont,740,,,1000    CORSICA                      DR,34.0461,-118.507
1508,200414414,10/29/2020 12:00:00 AM,10/20/2020 12:00:00 AM,1246,4,Hollenbeck,423,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,46,F,H,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,1900    WORKMAN                      ST,34.066,-118.2141
1509,200212084,07-02-2020 00:00,07-02-2020 00:00,1600,2,Rampart,236,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 1822 0601 0329,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,740,,,200 S  WESTLAKE                     AV,34.0649,-118.2696
1510,200804707,01/17/2020 12:00:00 AM,01/16/2020 12:00:00 AM,2045,8,West LA,887,1,320,"BURGLARY, ATTEMPTED",1402 1501 0216 1822 1420 1414,43,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,998,,2500    BEVERWIL                     DR,34.0411,-118.3988
1511,200810691,06/15/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1940,8,West LA,832,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1609,62,M,W,501,SINGLE FAMILY DWELLING,306,ROCK/THROWN OBJECT,IC,Invest Cont,740,,,900 S  BARRINGTON                   AV,34.0533,-118.4652
1512,200207562,03-10-2020 00:00,03-10-2020 00:00,2240,2,Rampart,201,1,761,BRANDISH WEAPON,0334 1822 0416 1300 0446 0906 0371 0202,29,M,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761,,,4700    SANTA MONICA                 BL,34.0909,-118.2917
1513,200911627,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,1840,9,Van Nuys,937,2,354,THEFT OF IDENTITY,0377 1822,47,F,W,710,OTHER PREMISE,,,IC,Invest Cont,354,,,13800    VICTORY                      BL,34.1867,-118.434
1514,201306574,02/15/2020 12:00:00 AM,02-04-2020 00:00,1330,13,Newton,1303,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,51,M,B,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,900 E  12TH                         ST,34.0321,-118.2499
1515,200906674,02/28/2020 12:00:00 AM,02/26/2020 12:00:00 AM,1630,9,Van Nuys,905,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,56,M,W,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,14500    LEADWELL                     ST,34.2039,-118.4501
1516,200313462,06/30/2020 12:00:00 AM,06/29/2020 12:00:00 AM,800,3,Southwest,362,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1210,33,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,4500    SANTA ROSALIA                DR,34.015,-118.3472
1517,200912586,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,1830,9,Van Nuys,901,2,813,CHILD ANNOYING (17YRS & UNDER),1251 1309 1822,17,F,B,101,STREET,,,AO,Adult Other,813,,,COVELLO                      ST,34.2076,-118.4673
1518,201014253,10/20/2020 12:00:00 AM,10/19/2020 12:00:00 AM,2100,10,West Valley,1067,1,310,BURGLARY,1822 2004 1420 0202 0209,0,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,310,,,17500 W  VENTURA                      BL,34.166,-118.5095
1519,201109224,05-10-2020 00:00,05-09-2020 00:00,707,11,Northeast,1181,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,55,M,W,101,STREET,,,IC,Invest Cont,420,,,1300 N  CORONADO                     ST,34.0813,-118.2679
1520,200308584,03/15/2020 12:00:00 AM,03/15/2020 12:00:00 AM,700,3,Southwest,373,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0561,58,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,3900    DEGNAN                       BL,34.0146,-118.3301
1521,200118573,09/27/2020 12:00:00 AM,09/27/2020 12:00:00 AM,1530,1,Central,156,2,624,BATTERY - SIMPLE ASSAULT,0913 1218 2004 1414 0416,40,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,500    WALL                         ST,34.044,-118.2467
1522,201115573,11-09-2020 00:00,11-09-2020 00:00,1800,11,Northeast,1172,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,2200    BRANDEN                      ST,34.0879,-118.2596
1523,200316454,08/29/2020 12:00:00 AM,08/29/2020 12:00:00 AM,40,3,Southwest,397,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1309 0334 1407 1822,19,X,X,101,STREET,102,HAND GUN,IC,Invest Cont,753,,,42ND                         ST,34.0073,-118.2937
1524,200513367,08/25/2020 12:00:00 AM,08/23/2020 12:00:00 AM,1900,5,Harbor,562,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,700 S  WALKER                       AV,33.737,-118.3034
1525,200108514,03-05-2020 00:00,02/25/2020 12:00:00 AM,1300,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344 1822,46,F,H,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341,,,700 S  FLOWER                       ST,34.0487,-118.2588
1526,200310210,04/21/2020 12:00:00 AM,03-11-2020 00:00,1900,3,Southwest,336,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,2100 W  30TH                         ST,34.0274,-118.312
1527,201211964,05-01-2020 00:00,05-01-2020 00:00,830,12,77th Street,1249,1,210,ROBBERY,0342 1309 1822 0334 1240 1402 0916,45,M,H,101,STREET,219,SCREWDRIVER,AA,Adult Arrest,210,998,,FLORENCE,33.9747,-118.286
1528,201211690,04/20/2020 12:00:00 AM,04/20/2020 12:00:00 AM,1725,12,77th Street,1235,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,30,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,1500 W  60TH                         ST,33.9859,-118.3024
1529,200215519,09/28/2020 12:00:00 AM,09/28/2020 12:00:00 AM,230,2,Rampart,205,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,2900    BELLEVUE                     AV,34.0804,-118.275
1530,200613925,08/13/2020 12:00:00 AM,08/13/2020 12:00:00 AM,1308,6,Hollywood,663,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2004 0421 0913,51,F,H,203,OTHER BUSINESS,511,VERBAL THREAT,IC,Invest Cont,930,,,6700    LEXINGTON                    AV,34.0926,-118.3366
1531,200914871,09/18/2020 12:00:00 AM,09-07-2020 00:00,1,9,Van Nuys,969,2,354,THEFT OF IDENTITY,377,36,F,W,710,OTHER PREMISE,,,IC,Invest Cont,354,,,12900 W  RIVERSIDE                    DR,34.1576,-118.4144
1532,201217622,08-02-2020 00:00,08-01-2020 00:00,1500,12,77th Street,1257,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,800 W  78TH                         ST,33.9688,-118.2873
1533,201104780,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1915,11,Northeast,1147,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913,31,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,SAN FERNANDO,34.0951,-118.2311
1534,200506744,03-04-2020 00:00,03-01-2020 00:00,1500,5,Harbor,504,1,310,BURGLARY,0344 1608 1273,45,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,20600    DENKER                       AV,33.8439,-118.304
1535,200206865,02/26/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1,2,Rampart,235,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,56,M,H,101,STREET,,,IC,Invest Cont,331,,,200 S  CARONDELET                   ST,34.0674,-118.2753
1536,200512437,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,945,5,Harbor,584,2,901,VIOLATION OF RESTRAINING ORDER,0913 1814 2000 2038,30,F,W,104,DRIVEWAY,,,AA,Adult Arrest,901,,,800 W  26TH                         ST,33.7206,-118.2946
1537,201109461,05/18/2020 12:00:00 AM,05/17/2020 12:00:00 AM,630,11,Northeast,1116,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,40,F,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440,,,5100    MIRIAM                       ST,34.1149,-118.2054
1538,201007734,04-02-2020 00:00,04-02-2020 00:00,1815,10,West Valley,1021,2,946,OTHER MISCELLANEOUS CRIME,1501,0,M,W,718,MASSAGE PARLOR,,,IC,Invest Cont,946,,,19600    SHERMAN                      WY,34.1954,-118.5577
1539,200914026,08/26/2020 12:00:00 AM,08/23/2020 12:00:00 AM,2340,9,Van Nuys,966,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822,49,M,W,101,STREET,,,IC,Invest Cont,420,,,4700    BUFFALO                      AV,34.156,-118.4291
1540,201010868,07-10-2020 00:00,07-09-2020 00:00,2200,10,West Valley,1045,1,330,BURGLARY FROM VEHICLE,0344 1605 1822 0321,46,M,O,101,STREET,,,IC,Invest Cont,330,,,5700    CHIMINEAS                    AV,34.1753,-118.5286
1541,200411078,07/23/2020 12:00:00 AM,07/23/2020 12:00:00 AM,445,4,Hollenbeck,478,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,900 S  CONCORD                      ST,34.0266,-118.2042
1542,201217503,07/30/2020 12:00:00 AM,07/30/2020 12:00:00 AM,1445,12,77th Street,1268,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1236 0447 0416 0913,21,M,I,401,MINI-MART,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,7900 S  BROADWAY,33.9673,-118.2783
1543,200806016,02/13/2020 12:00:00 AM,02-12-2020 00:00,1140,8,West LA,827,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0385 1822,39,F,H,101,STREET,,,IC,Invest Cont,420,,,600 S  BARRINGTON                   AV,34.0577,-118.4681
1544,200910335,05/31/2020 12:00:00 AM,05/30/2020 12:00:00 AM,1500,9,Van Nuys,966,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,13300 W  RIVERSIDE                    DR,34.1576,-118.4225
1545,200517171,11/28/2020 12:00:00 AM,11/28/2020 12:00:00 AM,200,5,Harbor,514,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0419 1813 2000 2002 2034,42,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,800    HAWAIIAN                     AV,33.7792,-118.2768
1546,200914158,08/30/2020 12:00:00 AM,08/30/2020 12:00:00 AM,1530,9,Van Nuys,964,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 1822 1420 1402,29,F,H,109,PARK/PLAYGROUND,204,FOLDING KNIFE,AA,Adult Arrest,230,998,,14200    HUSTON                       ST,34.1594,-118.4433
1547,200111653,05/13/2020 12:00:00 AM,05-11-2020 00:00,2110,1,Central,174,1,330,BURGLARY FROM VEHICLE,1307 1609 0344 1822 0329,31,F,B,108,PARKING LOT,,,IC,Invest Cont,330,,,700 S  SPRING                       ST,34.0445,-118.2523
1548,200517861,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,200,5,Harbor,585,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 1100 1402 1822,23,M,H,108,PARKING LOT,106,UNKNOWN FIREARM,AA,Adult Arrest,230,998,,1800 S  PACIFIC                      AV,33.7243,-118.2963
1549,200714496,10-03-2020 00:00,10-02-2020 00:00,1900,7,Wilshire,763,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,1500 S  SPAULDING                    AV,34.0468,-118.3636
1550,200413407,10-02-2020 00:00,10-02-2020 00:00,1915,4,Hollenbeck,466,1,330,BURGLARY FROM VEHICLE,1300 1302 2004 1307,39,M,H,101,STREET,,,IC,Invest Cont,330,,,MOTT,34.0429,-118.2056
1551,201105331,01/31/2020 12:00:00 AM,01/30/2020 12:00:00 AM,2300,11,Northeast,1132,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344 1202,75,M,W,101,STREET,,,IC,Invest Cont,420,,,3300    LOWRY                        RD,34.1134,-118.2791
1552,201015462,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1930,10,West Valley,1006,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,WHITE OAK                    AV,34.2084,-118.5186
1553,200611367,06-12-2020 00:00,06-12-2020 00:00,2230,6,Hollywood,647,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913 1823,35,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,5900 W  HOLLYWOOD                    BL,34.1017,-118.318
1554,200211702,06/23/2020 12:00:00 AM,06-05-2020 00:00,1800,2,Rampart,257,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1309 2000 1813 0416 0446 0408 0913,46,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,600    LUCAS                        AV,34.0552,-118.2675
1555,200511463,07-05-2020 00:00,07-04-2020 00:00,2200,5,Harbor,517,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,30,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,OPP,33.783,-118.261
1556,201114650,10/14/2020 12:00:00 AM,08/15/2020 12:00:00 AM,2000,11,Northeast,1172,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,52,M,B,101,STREET,,,IC,Invest Cont,740,,,BERKELEY                     AV,34.0867,-118.2701
1557,200617986,11/13/2020 12:00:00 AM,11/13/2020 12:00:00 AM,1700,6,Hollywood,666,2,437,RESISTING ARREST,1822 0416 0400 1212,0,X,X,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,437,,,1400 N  GOWER                        ST,34.0944,-118.3277
1558,200307275,02/24/2020 12:00:00 AM,02/24/2020 12:00:00 AM,1050,3,Southwest,357,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1309 0340 2000 1813 1814 0419 0432,39,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,1200 W  36TH                         ST,34.023,-118.2944
1559,200704765,01/17/2020 12:00:00 AM,01/16/2020 12:00:00 AM,600,7,Wilshire,734,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 0421 0553 1261,30,F,H,504,OTHER RESIDENCE,511,VERBAL THREAT,IC,Invest Cont,930,998,,3RD,34.0702,-118.3511
1560,200215059,09/16/2020 12:00:00 AM,09/16/2020 12:00:00 AM,250,2,Rampart,236,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0408 0444 1814,23,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,100 S  MOUNTAIN VIEW                AV,34.0648,-118.2708
1561,200616339,10-06-2020 00:00,10-06-2020 00:00,530,6,Hollywood,639,1,648,ARSON,1414 1822,0,X,X,102,SIDEWALK,506,FIRE,IC,Invest Cont,648,998,,IVAR,34.1036,-118.3049
1562,200312495,06-10-2020 00:00,05/14/2020 12:00:00 AM,1200,3,Southwest,333,1,310,BURGLARY,1605 1822 0344 1202,66,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,2600    CRENSHAW                     BL,34.0278,-118.3378
1563,200610810,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,1130,6,Hollywood,622,2,624,BATTERY - SIMPLE ASSAULT,0400 0444,56,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,2300    JUPITER                      DR,34.1106,-118.3646
1564,200310873,05-03-2020 00:00,05-02-2020 00:00,1900,3,Southwest,319,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 0329,22,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,2500 S  FIGUEROA                     ST,34.0288,-118.2756
1565,200905765,02-09-2020 00:00,02-08-2020 00:00,2040,9,Van Nuys,984,2,624,BATTERY - SIMPLE ASSAULT,0444 0429 0416,20,F,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,14600    VENTURA                      BL,34.1513,-118.4509
1566,200605012,01/23/2020 12:00:00 AM,01/20/2020 12:00:00 AM,1115,6,Hollywood,639,1,350,"THEFT, PERSON",0344 1202,66,M,A,108,PARKING LOT,,,IC,Invest Cont,350,,,5400    HOLLYWOOD                    BL,34.1036,-118.3049
1567,200810638,06/14/2020 12:00:00 AM,06/14/2020 12:00:00 AM,530,8,West LA,887,2,354,THEFT OF IDENTITY,1822 0100 0929,39,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,9300    KRAMERWOOD                   PL,34.0351,-118.3931
1568,200119957,10/24/2020 12:00:00 AM,09/28/2020 12:00:00 AM,2045,1,Central,157,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,43,M,B,101,STREET,,,IC,Invest Cont,440,,,6TH                          ST,34.0423,-118.2453
1569,200717053,12/13/2020 12:00:00 AM,12/13/2020 12:00:00 AM,330,7,Wilshire,765,2,888,TRESPASSING,1309 0913,36,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,1400 S  ORANGE                       DR,34.0473,-118.3472
1570,200613346,08-01-2020 00:00,08-01-2020 00:00,935,6,Hollywood,645,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0400 0356 0431 1266 2004,37,M,H,102,SIDEWALK,512,MACE/PEPPER SPRAY,IC,Invest Cont,230,,,7000 W  HOLLYWOOD                    BL,34.1015,-118.3425
1571,200612283,07-07-2020 00:00,06/27/2020 12:00:00 AM,340,6,Hollywood,643,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0349 1822,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,7500 W  HOLLYWOOD                    BL,34.1016,-118.3531
1572,200614017,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,400,6,Hollywood,645,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0601 0329 1307 1609,0,X,X,503,HOTEL,306,ROCK/THROWN OBJECT,AA,Adult Arrest,740,,,1700    ORCHID                       AV,34.103,-118.3402
1573,201206226,02-01-2020 00:00,02-01-2020 00:00,1,12,77th Street,1205,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1309 1814 0445 0447 0913,28,F,B,101,STREET,212,BOTTLE,AA,Adult Arrest,236,,,5100    DENKER                       AV,33.9964,-118.3046
1574,201007809,04-06-2020 00:00,04-06-2020 00:00,930,10,West Valley,1078,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822,41,M,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,745,,,4900    EDGERTON                     AV,34.1584,-118.4891
1575,200115420,07/27/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1500,1,Central,111,1,310,BURGLARY,0397 1602 0344 1822 1402,0,M,W,118,CONSTRUCTION SITE,,,IC,Invest Cont,310,998,,800 N  BUNKER HILL                  AV,34.0637,-118.244
1576,200516153,11-03-2020 00:00,11-03-2020 00:00,850,5,Harbor,564,2,624,BATTERY - SIMPLE ASSAULT,0416 0554 0913 0602,20,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,300 S  CENTRE                       ST,33.7407,-118.2835
1577,200510859,06/21/2020 12:00:00 AM,06/21/2020 12:00:00 AM,1220,5,Harbor,566,2,624,BATTERY - SIMPLE ASSAULT,0400 0913,36,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624,,,900 S  CENTRE                       ST,33.7351,-118.2836
1578,200816132,11-06-2020 00:00,11-06-2020 00:00,1315,8,West LA,817,2,624,BATTERY - SIMPLE ASSAULT,1202 1210 0416 1822,65,M,W,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,WESTWOOD                     BL,34.0626,-118.4454
1579,200904797,01/19/2020 12:00:00 AM,01/18/2020 12:00:00 AM,1620,9,Van Nuys,964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),325,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,343,,,14000    RIVERSIDE                    DR,34.1576,-118.438
1580,201009599,06-01-2020 00:00,06-01-2020 00:00,1800,10,West Valley,1001,1,210,ROBBERY,0344 1609 0444 0329 1822 0342 0321 0443,0,M,W,401,MINI-MART,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,18900    ROSCOE                       BL,34.2206,-118.5448
1581,200712628,08-10-2020 00:00,08-08-2020 00:00,1630,7,Wilshire,722,1,440,THEFT PLAIN - PETTY ($950 & UNDER),394,33,F,W,116,OTHER/OUTSIDE,,,IC,Invest Cont,440,,,8400    BLACKBURN                    AV,34.0721,-118.3733
1582,200122059,12-07-2020 00:00,12-07-2020 00:00,1400,1,Central,164,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0947 1309 0919 1310 1822 0429 0448 1311,22,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,6TH,34.046,-118.251
1583,201010007,06/15/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1000,10,West Valley,1015,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913 2004,0,M,W,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,740,,,18100    SHERMAN                      WY,34.2048,-118.5273
1584,200515831,10/26/2020 12:00:00 AM,10/26/2020 12:00:00 AM,2045,5,Harbor,514,1,210,ROBBERY,0416 0448 0429 0344,31,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,1000    KING                         AV,33.7822,-118.2757
1585,200414908,11/15/2020 12:00:00 AM,11/13/2020 12:00:00 AM,1800,4,Hollenbeck,473,1,330,BURGLARY FROM VEHICLE,0344 1302 0329,58,F,B,101,STREET,,,IC,Invest Cont,330,,,600 S  ST LOUIS                     ST,34.0376,-118.2166
1586,200810358,06-08-2020 00:00,05-08-2020 00:00,1200,8,West LA,832,1,480,BIKE - STOLEN,0913 2034 2032 1817 2004 0344 1202 1218,59,M,W,102,SIDEWALK,,,IC,Invest Cont,480,,,MAYFIELD                     AV,34.0518,-118.4634
1587,200314796,07/25/2020 12:00:00 AM,07/24/2020 12:00:00 AM,2100,3,Southwest,328,1,330,BURGLARY FROM VEHICLE,1307 1609 0329 0344 1822,32,M,B,506,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,330,,,800 W  32ND                         ST,34.0248,-118.2818
1588,201208020,02/27/2020 12:00:00 AM,02/27/2020 12:00:00 AM,2150,12,77th Street,1248,2,437,RESISTING ARREST,1402 0400,0,X,X,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,437,998,,MENLO,33.9801,-118.2892
1589,200113405,06/14/2020 12:00:00 AM,06/14/2020 12:00:00 AM,1200,1,Central,158,2,434,FALSE IMPRISONMENT,0451 1218 1501 0432 1814 0913 0410,50,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,434,,,600 S  CENTRAL                      AV,34.0381,-118.2401
1590,200906038,02/14/2020 12:00:00 AM,02-11-2020 00:00,1900,9,Van Nuys,909,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0906 1501 1822,39,M,H,101,STREET,511,VERBAL THREAT,IC,Invest Cont,930,,,13600    WYANDOTTE                    ST,34.203,-118.4291
1591,201113091,08/31/2020 12:00:00 AM,08/30/2020 12:00:00 AM,900,11,Northeast,1145,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,2700    CLEARWATER                   ST,34.105,-118.2547
1592,200300516,01-06-2020 00:00,01-06-2020 00:00,1420,3,Southwest,363,1,210,ROBBERY,1414 0906 1251 0342 0449 0334 0355 0371 0408 1822,27,M,B,247,CAR WASH,102,HAND GUN,JA,Juv Arrest,210,,,4000 W  MARTIN LUTHER KING JR        BL,34.0151,-118.3422
1593,201211301,04/20/2020 12:00:00 AM,04-06-2020 00:00,1800,12,77th Street,1242,2,647,THROWING OBJECT AT MOVING VEHICLE,1310 1309 1822 0447 0342 1312 0340 0329,28,F,B,101,STREET,212,BOTTLE,IC,Invest Cont,647,,,SOUTHWEST                    DR,33.9829,-118.3177
1594,200809088,05-04-2020 00:00,04/23/2020 12:00:00 AM,800,8,West LA,814,2,354,THEFT OF IDENTITY,100,29,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,11300    MONTANA                      AV,34.0669,-118.4619
1595,200614293,08/22/2020 12:00:00 AM,08/22/2020 12:00:00 AM,635,6,Hollywood,622,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0334 1822 2004 1402,62,F,W,402,MARKET,200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,230,998,,KIRKWOOD,34.1146,-118.3607
